web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Nkunku,2.0,74,3.7,1,10,13.0,38.2,22.8,72.0,432893,217895,2
Pulisic,0.0,55,0.0,0,0,0.0,0.0,0.0,0.0,0,399,0
M.Sarr,0.0,43,0.1,0,0,0.0,0.0,0.0,0.0,4642,9392,0
Slonina,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,4101,0
Sterling,2.2,71,8.3,0,81,121.7,340.6,358.3,519.0,2968326,2470667,6
T.Silva,2.2,50,3.9,1,51,62.4,454.0,90.0,78.0,378388,325568,5
Ziyech,0.0,54,0.1,0,0,0.0,0.0,0.0,0.0,1010,16398,0
Ahamada,0.2,43,0.7,0,9,3.7,9.6,17.6,9.0,163576,126416,0
Andersen,1.0,49,17.0,2,69,91.2,520.2,193.0,199.0,2966436,1515118,9
J.Ayew,3.4,54,0.4,5,60,94.8,313.2,255.4,380.0,100645,106459,0
Clyne,1.4,44,0.1,2,17,11.9,82.8,23.0,12.0,7902,11837,0
C.Doucouré,0.0,49,0.1,0,21,34.2,165.8,138.5,36.0,11501,14753,0
Ebiowei,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,2156,5904,0
Edouard,0.2,54,1.7,0,59,96.6,295.0,183.6,485.0,974814,1040206,9
Eze,2.6,60,3.0,9,49,99.4,271.0,398.8,323.0,608689,1843680,3
Guaita,0.0,44,0.2,0,0,0.0,0.0,0.0,0.0,2528,69869,0
Guéhi,2.0,45,3.6,5,56,47.0,370.0,63.9,35.0,628690,452434,6
Hughes,0.6,49,0.0,1,26,40.9,168.8,202.4,39.0,2021,2041,0
Johnstone,0.4,45,2.6,0,56,25.6,254.4,0.0,0.0,703176,665923,7
Lerma,1.6,47,0.1,2,36,61.4,182.8,246.2,185.0,10643,37148,3
Mateta,4.8,49,0.9,2,48,60.1,190.2,210.7,200.0,183572,140526,5
Matthews,0.2,39,0.1,0,1,0.1,1.0,0.0,0.0,6278,8401,0
Mitchell,1.6,47,3.6,6,62,60.0,354.8,188.2,56.0,969518,675107,6
O'Brien,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,415,10220,0
Olise,8.0,59,1.6,15,55,90.2,304.6,321.6,274.0,229157,79125,11
