web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Susoho,Man City,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,71,44,0
Adaramola,Crystal Palace,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,822,342,0
Lewis-Skelly,Arsenal,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,42,24,0
Proctor,Aston Villa,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,190,93,0
Kambwala,Man Utd,DEF,0.3,40,0.0,0,2,1.9,18.0,1.4,0.0,764,379,0
O'Reilly,Aston Villa,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,140,62,0
Bennett,Man Utd,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,160,92,0
Hesketh,Wolves,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,76,45,0
Barnett,Wolves,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,311,137,0
Hamilton,Man City,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,66,34,0
Nwaneri,Arsenal,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,35,10,0
Orford,West Ham,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,36,14,0
Casey,West Ham,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,251,51,0
Brereton Díaz,Sheffield Utd,MID,7.0,50,0.0,7,7,10.3,37.0,12.7,53.0,3277,590,0
Werner,Spurs,FWD,5.0,65,0.7,5,5,5.7,11.2,15.1,31.0,88377,13528,0
Drăgușin,Spurs,DEF,1.0,45,0.1,1,1,0.4,3.8,0.2,0.0,5517,548,0
Wright,Aston Villa,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,22,3,0
McDonnell,Nott'm Forest,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0
Osong,Nott'm Forest,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,6,0,0
Gardner,Nott'm Forest,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,5,1,0
Beck,Liverpool,DEF,1.0,45,0.0,1,1,0.5,5.0,0.3,0.0,14,2,0
Gordon,Liverpool,MID,1.0,45,0.0,1,1,0.3,0.2,0.3,2.0,2,0,0
Scarles,West Ham,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,4,1,0
Marshall,West Ham,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,5,0,0
