web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Neto,Wolves,MID,0.2,56,1.8,0,53,84.5,248.0,388.7,213.0,1404813,1293153,5
Podence,Wolves,MID,0.0,53,0.0,0,0,0.0,0.0,0.0,0.0,868,11673,0
José Sá,Wolves,GK,3.0,50,1.4,0,52,39.9,397.8,0.0,0.0,180283,185091,4
Sarabia,Wolves,MID,3.8,47,0.3,0,47,77.3,221.6,423.8,126.0,59722,45337,4
Šarkić,Wolves,GK,0.0,40,0.3,0,0,0.0,0.0,0.0,0.0,0,27973,0
N.Semedo,Wolves,DEF,2.5,45,0.7,0,40,53.9,279.6,184.1,74.0,104228,79030,0
Toti,Wolves,DEF,3.2,44,0.3,0,43,39.1,264.6,47.8,76.0,36983,22756,3
Boubacar Traore,Wolves,MID,0.2,43,0.3,0,13,11.7,48.4,57.0,10.0,38340,61768,0
Lockyer,Luton,DEF,0.0,42,0.1,0,23,40.6,286.2,39.2,80.0,31803,38644,1
Robinson,Sheffield Utd,DEF,0.0,44,0.1,1,19,47.1,340.0,73.1,56.0,13691,16330,1
Ogbonna,West Ham,DEF,4.0,43,0.1,0,17,8.3,82.2,0.7,0.0,8475,9679,0
Nelson,Arsenal,MID,0.3,48,0.0,0,8,7.4,20.6,41.2,13.0,6341,7648,0
Lonergan,Everton,GK,0.0,39,0.1,0,0,0.0,0.0,0.0,0.0,2384,4035,0
Karius,Newcastle,GK,0.0,39,0.3,0,0,0.0,0.0,0.0,0.0,12655,15696,0
Dummett,Newcastle,DEF,0.0,39,0.3,0,1,0.3,3.0,0.2,0.0,45146,35512,0
Mpanzu,Luton,MID,0.3,47,0.0,0,24,18.0,71.0,68.6,41.0,3792,7149,0
Solomon,Spurs,MID,0.0,51,0.1,0,14,28.0,73.4,144.3,61.0,18872,28613,2
Pau,Aston Villa,DEF,0.3,47,4.8,0,61,53.9,313.2,122.2,103.0,848397,622249,4
J.Timber,Arsenal,DEF,0.0,46,0.4,0,0,0.6,3.6,2.4,0.0,12341,479205,0
Chong,Luton,MID,0.7,48,0.1,1,24,28.5,104.4,76.6,108.0,12014,18615,0
Slimane,Sheffield Utd,MID,0.3,47,0.0,0,9,12.2,28.2,41.2,52.0,784,5275,0
Young,Everton,DEF,0.0,44,0.3,0,26,41.6,147.6,238.6,28.0,30437,74106,2
Ângelo,Chelsea,MID,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,0,998,0
Cunha,Wolves,FWD,4.5,58,6.9,0,85,133.2,483.0,282.8,570.0,1145595,491379,9
Willian,Fulham,MID,1.3,53,0.7,2,64,88.7,266.2,366.9,256.0,191681,190643,6
Larouci,Sheffield Utd,DEF,0.0,43,0.0,0,4,8.6,52.4,2.9,31.0,1202,4336,0
T.Bénie,Sheffield Utd,FWD,0.0,51,0.0,0,11,11.2,25.8,56.7,31.0,7991,12986,0
Amdouni,Burnley,FWD,6.0,53,0.3,9,63,86.7,293.2,194.8,378.0,94615,80016,9
Kerkez,Bournemouth,DEF,0.0,44,0.2,0,31,32.1,187.0,104.1,30.0,36087,44091,1
Trafford,Burnley,GK,2.3,45,1.1,2,59,70.7,706.0,0.2,0.0,93970,90537,4
Onana,Man Utd,GK,1.3,48,12.1,2,74,60.4,583.0,20.2,0.0,886827,2419963,5
Doherty,Wolves,DEF,2.5,43,0.2,0,20,24.2,100.4,79.0,63.0,17503,27602,1
Diaby,Aston Villa,MID,3.7,66,9.2,3,88,115.1,306.8,388.9,456.0,2334663,2117174,5
Redmond,Burnley,MID,0.3,47,0.0,0,11,9.4,23.8,52.5,18.0,780,4695,0
Danjuma,Everton,MID,1.7,52,0.1,3,23,40.2,70.2,78.0,254.0,29850,38232,0
Kaboré,Luton,DEF,0.0,40,3.4,0,25,38.8,180.6,158.7,50.0,565500,797386,3
Barnes,Newcastle,MID,0.0,62,1.0,0,17,14.0,57.6,29.9,53.0,197635,448453,2
Aina,Nott'm Forest,DEF,1.3,45,0.3,0,34,28.8,186.2,75.7,26.0,69186,62193,2
Koleosho,Burnley,MID,0.0,48,0.1,0,40,44.5,86.8,147.9,213.0,42701,42486,0
Igor,Brighton,DEF,0.3,43,0.1,0,13,21.1,133.4,67.3,10.0,17780,22892,1
Radu,Bournemouth,GK,0.0,44,0.1,0,2,3.3,33.0,0.0,0.0,5220,9172,0
Bruun Larsen,Burnley,MID,0.7,49,0.0,1,31,40.7,106.2,162.5,143.0,3108,3581,0
Maatsen,Chelsea,MID,0.5,51,0.0,0,11,10.3,29.4,44.8,29.0,3375,10880,0
Bassey,Fulham,DEF,0.7,44,0.2,0,22,25.7,219.8,23.2,13.0,13198,31588,0
Disasi,Chelsea,DEF,2.2,49,3.8,5,56,51.3,356.8,70.5,86.0,961129,801484,4
Ugochukwu,Chelsea,MID,0.2,44,0.2,0,11,7.1,47.0,22.0,2.0,44548,45730,0
Kaminski,Luton,GK,2.7,45,0.4,5,48,59.9,599.6,0.0,0.0,63183,50263,2
Matheus França,Crystal Palace,MID,1.0,48,0.0,1,6,7.6,8.0,54.1,15.0,939,1574,0
Gvardiol,Man City,DEF,2.7,48,3.3,1,40,54.5,224.8,182.7,137.0,611978,675923,1
Højlund,Man Utd,FWD,6.0,68,3.4,11,41,59.6,136.4,164.6,297.0,1200747,1039921,4
Kellyman,Aston Villa,MID,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,6942,7638,0
Greenwood,Bournemouth,DEF,0.0,40,0.2,0,0,0.0,0.0,0.0,0.0,14468,16089,0
Olakigbe,Brentford,MID,0.7,45,0.0,0,8,3.5,4.8,4.1,27.0,3338,3403,0
Hinshelwood,Brighton,MID,4.0,45,0.1,0,30,41.0,141.0,72.1,197.0,20734,9098,5
Dodgson,Burnley,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,467,3522,0
Burstow,Chelsea,FWD,0.0,45,0.1,0,2,0.3,0.4,0.6,2.0,4401,14127,0
Dobbin,Everton,MID,0.0,45,0.1,0,13,11.1,55.6,13.5,43.0,10191,9370,0
De Fougerolles,Fulham,DEF,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,3479,4812,0
Quansah,Liverpool,DEF,2.0,40,0.1,0,12,5.3,43.2,5.7,4.0,23105,16253,0
Clark,Liverpool,MID,0.3,44,0.0,1,1,0.5,2.2,0.3,2.0,1485,2164,0
Doak,Liverpool,MID,0.0,44,0.0,0,1,0.1,0.2,0.8,0.0,5154,7927,0
McConnell,Liverpool,MID,0.0,44,0.0,0,1,0.1,1.0,0.0,0.0,1168,1717,0
Barkley,Luton,MID,4.0,49,0.3,2,43,71.6,284.4,257.9,176.0,50097,35805,1
Brown,Luton,FWD,0.7,49,0.1,0,38,50.9,159.4,115.9,242.0,32582,32153,3
Forson,Man Utd,MID,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,1024,1495,0
Livramento,Newcastle,DEF,0.3,43,1.3,0,26,26.0,139.4,89.9,29.0,233928,131756,4
A.Murphy,Newcastle,DEF,0.0,39,0.4,0,1,0.0,0.2,0.1,0.0,47462,46815,0
